Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
5084501890,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Shai Gilgeous-Alexander (42221045),Josh Hart (42221142),Cam Spencer (42221262),Aaron Gordon (42221147),Jonas Valanciunas (42221413),Darius Garland (42221128),Bennedict Mathurin (42221150),Nic Claxton (42221205),,1. Column A lists all of your contest entries for this draftgroup
5084501891,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,James Harden (42221059),Josh Hart (42221142),Mikal Bridges (42221159),Jaylon Tyson (42221179),Nic Claxton (42221205),Darius Garland (42221128),Bennedict Mathurin (42221150),Mitchell Robinson (42221367),,2. Your current lineup is listed next to each entry (blank for reservations)
5084501892,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Josh Hart (42221142),Mikal Bridges (42221159),Aaron Wiggins (42221276),Nikola Jokic (42221043),Darius Garland (42221128),Jaylen Wells (42221259),Nic Claxton (42221205),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5084501893,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,James Harden (42221059),Cam Spencer (42221262),Tim Hardaway Jr. (42221289),Draymond Green (42221192),Andre Drummond (42221280),Keyonte George (42221092),Bennedict Mathurin (42221150),Darius Garland (42221128),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5084501894,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Darius Garland (42221128),Josh Hart (42221142),Mikal Bridges (42221159),Spencer Jones (42221410),Nikola Jokic (42221043),Cam Spencer (42221262),Tim Hardaway Jr. (42221289),Nic Claxton (42221205),,5. For faster processing only include entries you are changing in the file you upload
5084501895,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Keyonte George (42221092),Cam Spencer (42221262),Kawhi Leonard (42221051),Noah Clowney (42221229),Nic Claxton (42221205),Darius Garland (42221128),Mikal Bridges (42221159),Mitchell Robinson (42221367),,
5084501896,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Kris Dunn (42221248),Tim Hardaway Jr. (42221289),Aaron Gordon (42221147),Nic Claxton (42221205),Shai Gilgeous-Alexander (42221045),Cam Spencer (42221262),Keyonte George (42221092),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5084501951,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Keyonte George (42221092),Jordan Miller (42221369),Jaylen Wells (42221259),OG Anunoby (42221111),Nikola Jokic (42221043),Terance Mann (42221406),Josh Hart (42221142),Kevin Love (42221404),,SG,Christian Braun (42221223),Christian Braun,42221223,SG/G/UTIL,5300,DEN@OKC 03/09/2026 07:30PM ET,DEN,22.76
5084501952,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Darius Garland (42221128),Donovan Mitchell (42221054),Aaron Wiggins (42221276),OG Anunoby (42221111),Nic Claxton (42221205),Cam Spencer (42221262),Aaron Gordon (42221147),Draymond Green (42221192),,PF,Noah Clowney (42221229),Noah Clowney,42221229,PF/F/UTIL,5200,MEM@BKN 03/09/2026 07:30PM ET,BKN,23.91
5084501953,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Terance Mann (42221406),Mikal Bridges (42221159),Dean Wade (42221388),Nikola Jokic (42221043),James Harden (42221059),Bennedict Mathurin (42221150),Andre Drummond (42221280),,PG,Dennis Schroder (42221232),Dennis Schroder,42221232,PG/G/UTIL,5200,PHI@CLE 03/09/2026 07:00PM ET,CLE,25.14
5084501954,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Shai Gilgeous-Alexander (42221045),Cam Spencer (42221262),Mikal Bridges (42221159),Jaylon Tyson (42221179),Kevin Love (42221404),Keyonte George (42221092),Dominick Barlow (42221328),Darius Garland (42221128),,SG,Cedric Coward (42221235),Cedric Coward,42221235,SG/G/UTIL,5100,MEM@BKN 03/09/2026 07:30PM ET,MEM,27.31
5084501955,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Shai Gilgeous-Alexander (42221045),Terance Mann (42221406),Jaylen Wells (42221259),Aaron Gordon (42221147),Nic Claxton (42221205),Keyonte George (42221092),Dominick Barlow (42221328),Darius Garland (42221128),,C,Day'Ron Sharpe (42221238),Day'Ron Sharpe,42221238,C/UTIL,5000,MEM@BKN 03/09/2026 07:30PM ET,BKN,22.70
5084501956,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Josh Hart (42221142),Mikal Bridges (42221159),OG Anunoby (42221111),Kevin Love (42221404),Shai Gilgeous-Alexander (42221045),Tim Hardaway Jr. (42221289),Keyonte George (42221092),,PF/C,Olivier-Maxence Prosper (42221240),Olivier-Maxence Prosper,42221240,PF/C/F/UTIL,5000,MEM@BKN 03/09/2026 07:30PM ET,MEM,14.94
5084501957,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Kris Dunn (42221248),Cam Spencer (42221262),Aaron Gordon (42221147),Karl-Anthony Towns (42221074),James Harden (42221059),Noah Clowney (42221229),Nic Claxton (42221205),,SF/PF,Derrick Jones Jr. (42221244),Derrick Jones Jr.,42221244,SF/PF/F/UTIL,5000,NYK@LAC 03/09/2026 10:00PM ET,LAC,20.44
5084501958,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Shai Gilgeous-Alexander (42221045),Bennedict Mathurin (42221150),Mikal Bridges (42221159),Aaron Wiggins (42221276),Nic Claxton (42221205),Keyonte George (42221092),Jaylen Wells (42221259),Kevin Love (42221404),,PF/C,Taylor Hendricks (42221252),Taylor Hendricks,42221252,PF/C/F/UTIL,4900,MEM@BKN 03/09/2026 07:30PM ET,MEM,14.24
5084501959,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Nolan Traore (42221332),Terance Mann (42221406),Jaylen Wells (42221259),Aaron Gordon (42221147),Karl-Anthony Towns (42221074),Jose Alvarado (42221418),Bennedict Mathurin (42221150),Nikola Jokic (42221043),,SG,Max Strus (42221256),Max Strus,42221256,SG/G/UTIL,4900,PHI@CLE 03/09/2026 07:00PM ET,CLE,0
5084501960,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Kris Dunn (42221248),Mikal Bridges (42221159),Aaron Wiggins (42221276),Nikola Jokic (42221043),Cam Spencer (42221262),Bennedict Mathurin (42221150),Nic Claxton (42221205),,PG/SG,Kris Dunn (42221248),Kris Dunn,42221248,PG/SG/G/UTIL,4900,NYK@LAC 03/09/2026 10:00PM ET,LAC,20.39
5084501961,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Darius Garland (42221128),Josh Hart (42221142),Mikal Bridges (42221159),Aaron Gordon (42221147),Karl-Anthony Towns (42221074),De'Anthony Melton (42221170),Bennedict Mathurin (42221150),Kevin Love (42221404),,SF,Jaylen Wells (42221259),Jaylen Wells,42221259,SF/F/UTIL,4800,MEM@BKN 03/09/2026 07:30PM ET,MEM,21.58
5084501962,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Shai Gilgeous-Alexander (42221045),Cam Spencer (42221262),Tim Hardaway Jr. (42221289),Aaron Gordon (42221147),Karl-Anthony Towns (42221074),Darius Garland (42221128),Aaron Wiggins (42221276),Kevin Love (42221404),,SG/SF,Cam Spencer (42221262),Cam Spencer,42221262,SG/SF/F/G/UTIL,4800,MEM@BKN 03/09/2026 07:30PM ET,MEM,25.14
5084501963,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Josh Hart (42221142),Jaylen Wells (42221259),Aaron Gordon (42221147),Nikola Jokic (42221043),Darius Garland (42221128),De'Anthony Melton (42221170),Mitchell Robinson (42221367),,PG/SG,Egor Demin (42221269),Egor Demin,42221269,PG/SG/G/UTIL,4800,MEM@BKN 03/09/2026 07:30PM ET,BKN,21.93
5084501964,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Keyonte George (42221092),Terance Mann (42221406),Kawhi Leonard (42221051),OG Anunoby (42221111),Nic Claxton (42221205),Bennedict Mathurin (42221150),Noah Clowney (42221229),Andre Drummond (42221280),,C,Brook Lopez (42221267),Brook Lopez,42221267,C/UTIL,4800,NYK@LAC 03/09/2026 10:00PM ET,LAC,16.72
5084501965,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Keyonte George (42221092),Kris Dunn (42221248),Jaylen Wells (42221259),Aaron Gordon (42221147),Nikola Jokic (42221043),Jordan Miller (42221369),Cam Spencer (42221262),Andre Drummond (42221280),,PG,Pat Spencer (42221282),Pat Spencer,42221282,PG/G/UTIL,4700,GSW@UTA 03/09/2026 09:00PM ET,GSW,15.71
5084501966,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Donovan Mitchell (42221054),Kawhi Leonard (42221051),Aaron Gordon (42221147),Nic Claxton (42221205),Jordan Miller (42221369),Mikal Bridges (42221159),Andre Drummond (42221280),,C,Andre Drummond (42221280),Andre Drummond,42221280,C/UTIL,4700,PHI@CLE 03/09/2026 07:00PM ET,PHI,21.57
5084501967,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Keyonte George (42221092),Josh Hart (42221142),Mikal Bridges (42221159),Aaron Gordon (42221147),Nic Claxton (42221205),Darius Garland (42221128),Bennedict Mathurin (42221150),Andre Drummond (42221280),,SG,Isaiah Joe (42221273),Isaiah Joe,42221273,SG/G/UTIL,4700,DEN@OKC 03/09/2026 07:30PM ET,OKC,19.24
5084501968,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,James Harden (42221059),Cam Spencer (42221262),Mikal Bridges (42221159),Aaron Gordon (42221147),Andre Drummond (42221280),Darius Garland (42221128),Bennedict Mathurin (42221150),Jaylon Tyson (42221179),,SF/PF,Aaron Wiggins (42221276),Aaron Wiggins,42221276,SF/PF/F/UTIL,4700,DEN@OKC 03/09/2026 07:30PM ET,OKC,20.50
5084501969,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Josh Hart (42221142),Mikal Bridges (42221159),OG Anunoby (42221111),Nic Claxton (42221205),Darius Garland (42221128),Cam Spencer (42221262),Evan Mobley (42221079),,SG,Walter Clayton Jr. (42221292),Walter Clayton Jr.,42221292,SG/G/UTIL,4600,MEM@BKN 03/09/2026 07:30PM ET,MEM,16.9
5084501970,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Donovan Mitchell (42221054),Mikal Bridges (42221159),Aaron Wiggins (42221276),Karl-Anthony Towns (42221074),Keyonte George (42221092),Cam Spencer (42221262),Danny Wolf (42221306),,SG/SF,Cody Williams (42221295),Cody Williams,42221295,SG/SF/F/G/UTIL,4600,GSW@UTA 03/09/2026 09:00PM ET,UTA,13.15
5084501971,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Kris Dunn (42221248),Kawhi Leonard (42221051),Draymond Green (42221192),Jonas Valanciunas (42221413),James Harden (42221059),Cam Spencer (42221262),Darius Garland (42221128),,PG/SG,Bruce Brown (42221285),Bruce Brown,42221285,PG/SG/G/UTIL,4600,DEN@OKC 03/09/2026 07:30PM ET,DEN,18.31
5084501972,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Shai Gilgeous-Alexander (42221045),Terance Mann (42221406),Mikal Bridges (42221159),OG Anunoby (42221111),Nic Claxton (42221205),Darius Garland (42221128),Cam Spencer (42221262),Draymond Green (42221192),,SF,Tim Hardaway Jr. (42221289),Tim Hardaway Jr.,42221289,SF/F/UTIL,4600,DEN@OKC 03/09/2026 07:30PM ET,DEN,21.38
5084501973,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Jordan Miller (42221369),Cam Spencer (42221262),Evan Mobley (42221079),Nic Claxton (42221205),Shai Gilgeous-Alexander (42221045),Bennedict Mathurin (42221150),Darius Garland (42221128),,PG,Ajay Mitchell (42221300),Ajay Mitchell,42221300,PG/G/UTIL,4600,DEN@OKC 03/09/2026 07:30PM ET,OKC,27.19
5084501974,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Jordan Miller (42221369),Kawhi Leonard (42221051),Danny Wolf (42221306),Mitchell Robinson (42221367),James Harden (42221059),Josh Hart (42221142),Keyonte George (42221092),,PF/C,Danny Wolf (42221306),Danny Wolf,42221306,PF/C/F/UTIL,4500,MEM@BKN 03/09/2026 07:30PM ET,BKN,20.08
5084501975,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,James Harden (42221059),Josh Hart (42221142),Mikal Bridges (42221159),Noah Clowney (42221229),Jonas Valanciunas (42221413),Keyonte George (42221092),Cam Spencer (42221262),Darius Garland (42221128),,PG/SG,Cameron Payne (42221310),Cameron Payne,42221310,PG/SG/G/UTIL,4500,PHI@CLE 03/09/2026 07:00PM ET,PHI,10.97
5084501976,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Kris Dunn (42221248),Mikal Bridges (42221159),Aaron Gordon (42221147),Nikola Jokic (42221043),Darius Garland (42221128),Tim Hardaway Jr. (42221289),Nic Claxton (42221205),,SG,Luguentz Dort (42221303),Luguentz Dort,42221303,SG/G/UTIL,4500,DEN@OKC 03/09/2026 07:30PM ET,OKC,18.61
5084501977,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Josh Hart (42221142),Cam Spencer (42221262),OG Anunoby (42221111),Karl-Anthony Towns (42221074),Cason Wallace (42221200),Evan Mobley (42221079),Jaylon Tyson (42221179),,PG,Nolan Traore (42221332),Nolan Traore,42221332,PG/G/UTIL,4400,MEM@BKN 03/09/2026 07:30PM ET,BKN,17.29
5084501978,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Shai Gilgeous-Alexander (42221045),Jordan Miller (42221369),Mikal Bridges (42221159),Jaylon Tyson (42221179),Karl-Anthony Towns (42221074),Cam Spencer (42221262),Bennedict Mathurin (42221150),Jonas Valanciunas (42221413),,SG/SF,Gary Payton II (42221314),Gary Payton II,42221314,SG/SF/F/G/UTIL,4400,GSW@UTA 03/09/2026 09:00PM ET,GSW,14.33
5084501979,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Jordan Miller (42221369),Jaylen Wells (42221259),OG Anunoby (42221111),Mitchell Robinson (42221367),Shai Gilgeous-Alexander (42221045),Cam Spencer (42221262),James Harden (42221059),,SG/SF,Keon Ellis (42221319),Keon Ellis,42221319,SG/SF/F/G/UTIL,4400,PHI@CLE 03/09/2026 07:00PM ET,CLE,13.03
5084501980,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Josh Hart (42221142),Cam Spencer (42221262),Aaron Gordon (42221147),Mitchell Robinson (42221367),Jose Alvarado (42221418),Evan Mobley (42221079),Shai Gilgeous-Alexander (42221045),,SF/PF,Jabari Walker (42221324),Jabari Walker,42221324,SF/PF/F/UTIL,4400,PHI@CLE 03/09/2026 07:00PM ET,PHI,10.43
5084501981,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Jordan Miller (42221369),Josh Hart (42221142),Aaron Gordon (42221147),Nikola Jokic (42221043),Cam Spencer (42221262),Bennedict Mathurin (42221150),Andre Drummond (42221280),,PF/C,Dominick Barlow (42221328),Dominick Barlow,42221328,PF/C/F/UTIL,4400,PHI@CLE 03/09/2026 07:00PM ET,PHI,18.73
5084501982,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Shai Gilgeous-Alexander (42221045),Josh Hart (42221142),Jaylen Wells (42221259),Aaron Gordon (42221147),Day'Ron Sharpe (42221238),Bennedict Mathurin (42221150),Noah Clowney (42221229),Nic Claxton (42221205),,SG/SF,Ziaire Williams (42221338),Ziaire Williams,42221338,SG/SF/F/G/UTIL,4300,MEM@BKN 03/09/2026 07:30PM ET,BKN,17.69
5084501983,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Jordan Miller (42221369),Kawhi Leonard (42221051),Aaron Wiggins (42221276),Nic Claxton (42221205),Shai Gilgeous-Alexander (42221045),Bennedict Mathurin (42221150),Kevin Love (42221404),,SF,John Konchar (42221345),John Konchar,42221345,SF/F/UTIL,4300,GSW@UTA 03/09/2026 09:00PM ET,UTA,13.16
5084501984,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Keyonte George (42221092),Cam Spencer (42221262),Kawhi Leonard (42221051),Draymond Green (42221192),Mitchell Robinson (42221367),Darius Garland (42221128),Mikal Bridges (42221159),Jaylen Wells (42221259),,PG,Craig Porter Jr. (42221335),Craig Porter Jr.,42221335,PG/G/UTIL,4300,PHI@CLE 03/09/2026 07:00PM ET,CLE,16.46
5084501985,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Keyonte George (42221092),Jordan Miller (42221369),Tim Hardaway Jr. (42221289),Aaron Gordon (42221147),Nikola Jokic (42221043),Cam Spencer (42221262),Jaylon Tyson (42221179),Mitchell Robinson (42221367),,C,Thomas Bryant (42221343),Thomas Bryant,42221343,C/UTIL,4300,PHI@CLE 03/09/2026 07:00PM ET,CLE,11.55
5084501986,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Terance Mann (42221406),Kawhi Leonard (42221051),Aaron Gordon (42221147),Nic Claxton (42221205),Shai Gilgeous-Alexander (42221045),Josh Hart (42221142),Mitchell Robinson (42221367),,C,Adem Bona (42221351),Adem Bona,42221351,C/UTIL,4200,PHI@CLE 03/09/2026 07:00PM ET,PHI,13.35
5084501987,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Cam Spencer (42221262),Mikal Bridges (42221159),OG Anunoby (42221111),Karl-Anthony Towns (42221074),Keyonte George (42221092),Aaron Gordon (42221147),Jaylon Tyson (42221179),,PG,Tyus Jones (42221348),Tyus Jones,42221348,PG/G/UTIL,4200,DEN@OKC 03/09/2026 07:30PM ET,DEN,9.71
5084501988,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Jordan Miller (42221369),Tim Hardaway Jr. (42221289),Aaron Gordon (42221147),Nikola Jokic (42221043),Darius Garland (42221128),Noah Clowney (42221229),Nic Claxton (42221205),,PF/C,Kenrich Williams (42221353),Kenrich Williams,42221353,PF/C/F/UTIL,4200,DEN@OKC 03/09/2026 07:30PM ET,OKC,14.35
5084501989,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Donovan Mitchell (42221054),Kawhi Leonard (42221051),OG Anunoby (42221111),Nic Claxton (42221205),Cam Spencer (42221262),Jaylen Wells (42221259),Andre Drummond (42221280),,SG/SF,Julian Strawther (42221357),Julian Strawther,42221357,SG/SF/F/G/UTIL,4200,DEN@OKC 03/09/2026 07:30PM ET,DEN,12.64
5084501990,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Keyonte George (42221092),Kris Dunn (42221248),Kawhi Leonard (42221051),Aaron Gordon (42221147),Nic Claxton (42221205),Darius Garland (42221128),Cam Spencer (42221262),Mitchell Robinson (42221367),,SG/SF,Will Richard (42221362),Will Richard,42221362,SG/SF/F/G/UTIL,4100,GSW@UTA 03/09/2026 09:00PM ET,GSW,15.06
5084501991,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,James Harden (42221059),Donovan Mitchell (42221054),Jaylen Wells (42221259),Jaylon Tyson (42221179),Jonas Valanciunas (42221413),Cam Spencer (42221262),Bennedict Mathurin (42221150),Nic Claxton (42221205),,C,Mitchell Robinson (42221367),Mitchell Robinson,42221367,C/UTIL,4100,NYK@LAC 03/09/2026 10:00PM ET,NYK,20.92
5084501992,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),De'Anthony Melton (42221170),Jaylen Wells (42221259),Aaron Gordon (42221147),Nikola Jokic (42221043),Darius Garland (42221128),Cam Spencer (42221262),Nic Claxton (42221205),,PG/SG,Jordan Miller (42221369),Jordan Miller,42221369,PG/SG/G/UTIL,4100,NYK@LAC 03/09/2026 10:00PM ET,LAC,17.73
5084501993,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,James Harden (42221059),Terance Mann (42221406),Josh Hart (42221142),Aaron Gordon (42221147),Nic Claxton (42221205),Keyonte George (42221092),Bennedict Mathurin (42221150),Danny Wolf (42221306),,SF,Rayan Rupert (42221373),Rayan Rupert,42221373,SF/F/UTIL,4000,MEM@BKN 03/09/2026 07:30PM ET,MEM,9.04
5084501994,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,James Harden (42221059),Josh Hart (42221142),Jaylen Wells (42221259),Aaron Wiggins (42221276),Day'Ron Sharpe (42221238),Keyonte George (42221092),Bennedict Mathurin (42221150),Nic Claxton (42221205),,SG/SF,Jahmai Mashack (42221383),Jahmai Mashack,42221383,SG/SF/F/G/UTIL,4000,MEM@BKN 03/09/2026 07:30PM ET,MEM,11.37
5084501995,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Cam Spencer (42221262),Mikal Bridges (42221159),Dean Wade (42221388),Nikola Jokic (42221043),Keyonte George (42221092),Jaylon Tyson (42221179),Kevin Love (42221404),,PF,Trendon Watford (42221380),Trendon Watford,42221380,PF/F/UTIL,4000,PHI@CLE 03/09/2026 07:00PM ET,PHI,15.08
5084501996,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Josh Hart (42221142),Cam Spencer (42221262),OG Anunoby (42221111),Karl-Anthony Towns (42221074),Darius Garland (42221128),Bennedict Mathurin (42221150),Nic Claxton (42221205),,PG/SG,Jared McCain (42221376),Jared McCain,42221376,PG/SG/G/UTIL,4000,DEN@OKC 03/09/2026 07:30PM ET,OKC,14.49
5084501997,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Donovan Mitchell (42221054),Tim Hardaway Jr. (42221289),OG Anunoby (42221111),Andre Drummond (42221280),James Harden (42221059),Jaylen Wells (42221259),Aaron Wiggins (42221276),,PG/SG,EJ Harkless (42221394),EJ Harkless,42221394,PG/SG/G/UTIL,3900,GSW@UTA 03/09/2026 09:00PM ET,UTA,9.87
5084501998,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Josh Hart (42221142),Tim Hardaway Jr. (42221289),Aaron Gordon (42221147),Karl-Anthony Towns (42221074),James Harden (42221059),Bennedict Mathurin (42221150),Day'Ron Sharpe (42221238),,SF/PF,Dean Wade (42221388),Dean Wade,42221388,SF/PF/F/UTIL,3900,PHI@CLE 03/09/2026 07:00PM ET,CLE,16.29
5084501999,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Josh Hart (42221142),Tim Hardaway Jr. (42221289),Aaron Gordon (42221147),Karl-Anthony Towns (42221074),James Harden (42221059),Jaylon Tyson (42221179),Nic Claxton (42221205),,C,Isaiah Jackson (42221392),Isaiah Jackson,42221392,C/UTIL,3900,NYK@LAC 03/09/2026 10:00PM ET,LAC,16.73
5084502000,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Cam Spencer (42221262),Kawhi Leonard (42221051),OG Anunoby (42221111),Mitchell Robinson (42221367),Keyonte George (42221092),Bennedict Mathurin (42221150),Jaylen Wells (42221259),,C,Kevin Love (42221404),Kevin Love,42221404,C/UTIL,3800,GSW@UTA 03/09/2026 09:00PM ET,UTA,18.24
5084502001,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Shai Gilgeous-Alexander (42221045),Cam Spencer (42221262),Mikal Bridges (42221159),Aaron Gordon (42221147),Nic Claxton (42221205),Keyonte George (42221092),Jaylen Wells (42221259),Kevin Love (42221404),,SG,Landry Shamet (42221401),Landry Shamet,42221401,SG/G/UTIL,3800,NYK@LAC 03/09/2026 10:00PM ET,NYK,16.84
5084502002,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Jordan Miller (42221369),Tim Hardaway Jr. (42221289),Aaron Gordon (42221147),Karl-Anthony Towns (42221074),Jose Alvarado (42221418),Cam Spencer (42221262),Nikola Jokic (42221043),,SF,Alex Caruso (42221398),Alex Caruso,42221398,SF/F/UTIL,3800,DEN@OKC 03/09/2026 07:30PM ET,OKC,16.25
5084502003,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Shai Gilgeous-Alexander (42221045),Terance Mann (42221406),Tim Hardaway Jr. (42221289),OG Anunoby (42221111),Kevin Love (42221404),James Harden (42221059),Dominick Barlow (42221328),Darius Garland (42221128),,PG/SG,Terance Mann (42221406),Terance Mann,42221406,PG/SG/G/UTIL,3700,MEM@BKN 03/09/2026 07:30PM ET,BKN,18.06
5084502004,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,James Harden (42221059),Cam Spencer (42221262),Kawhi Leonard (42221051),Aaron Wiggins (42221276),Nic Claxton (42221205),Bennedict Mathurin (42221150),Jaylen Wells (42221259),Andre Drummond (42221280),,SF,Justin Edwards (42221415),Justin Edwards,42221415,SF/F/UTIL,3700,PHI@CLE 03/09/2026 07:00PM ET,PHI,10.09
5084502005,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Jordan Miller (42221369),Kawhi Leonard (42221051),Aaron Gordon (42221147),Nic Claxton (42221205),Keyonte George (42221092),Bennedict Mathurin (42221150),Andre Drummond (42221280),,PF,Spencer Jones (42221410),Spencer Jones,42221410,PF/F/UTIL,3700,DEN@OKC 03/09/2026 07:30PM ET,DEN,13.69
5084502006,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Terance Mann (42221406),Kawhi Leonard (42221051),Aaron Wiggins (42221276),Andre Drummond (42221280),James Harden (42221059),Mikal Bridges (42221159),Keyonte George (42221092),,C,Jonas Valanciunas (42221413),Jonas Valanciunas,42221413,C/UTIL,3700,DEN@OKC 03/09/2026 07:30PM ET,DEN,17.94
5084502007,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Shai Gilgeous-Alexander (42221045),Terance Mann (42221406),Mikal Bridges (42221159),Aaron Gordon (42221147),Day'Ron Sharpe (42221238),James Harden (42221059),Jaylen Wells (42221259),Jonas Valanciunas (42221413),,C,Oscar Tshiebwe (42221421),Oscar Tshiebwe,42221421,C/UTIL,3600,GSW@UTA 03/09/2026 09:00PM ET,UTA,10.06
5084502008,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Jordan Miller (42221369),Josh Hart (42221142),Evan Mobley (42221079),Draymond Green (42221192),James Harden (42221059),Cam Spencer (42221262),Bennedict Mathurin (42221150),,PG,Jose Alvarado (42221418),Jose Alvarado,42221418,PG/G/UTIL,3600,NYK@LAC 03/09/2026 10:00PM ET,NYK,18.17
5084502009,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Cam Spencer (42221262),Mikal Bridges (42221159),Jaylon Tyson (42221179),Karl-Anthony Towns (42221074),James Harden (42221059),Bennedict Mathurin (42221150),Nic Claxton (42221205),,C,Quinten Post (42221423),Quinten Post,42221423,C/UTIL,3500,GSW@UTA 03/09/2026 09:00PM ET,GSW,16.81
5084502010,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,James Harden (42221059),Kris Dunn (42221248),Mikal Bridges (42221159),Aaron Gordon (42221147),Nic Claxton (42221205),Keyonte George (42221092),Jaylen Wells (42221259),Andre Drummond (42221280),,SG/SF,Kobe Sanders (42221425),Kobe Sanders,42221425,SG/SF/F/G/UTIL,3500,NYK@LAC 03/09/2026 10:00PM ET,LAC,13.90
