Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
5090212743,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Bub Carrington (42298224),Bilal Coulibaly (42298215),Will Riley (42298181),Jalen Smith (42298194),Nickeil Alexander-Walker (42298039),Paolo Banchero (42297965),Jock Landale (42298400),,1. Column A lists all of your contest entries for this draftgroup
5090212744,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Corey Kispert (42298448),Herbert Jones (42298244),Jalen Johnson (42297962),Jalen Smith (42298194),Ryan Nembhard (42298417),Paolo Banchero (42297965),Jock Landale (42298400),,2. Your current lineup is listed next to each entry (blank for reservations)
5090212745,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Trey Murphy III (42298024),Herbert Jones (42298244),Deni Avdija (42297983),Jalen Smith (42298194),Jeremiah Fears (42298299),Saddiq Bey (42298079),Yves Missi (42298374),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5090212746,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Brandon Williams (42298190),Cam Spencer (42298198),Jalen Johnson (42297962),Jock Landale (42298400),Tre Jones (42298133),PJ Washington (42298137),Derik Queen (42298270),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5090212747,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Trey Murphy III (42298024),Deni Avdija (42297983),PJ Washington (42298137),Nic Claxton (42298146),Jeremiah Fears (42298299),Patrick Williams (42298402),Jalen Smith (42298194),,5. For faster processing only include entries you are changing in the file you upload
5090212748,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Derrick White (42298013),Trey Murphy III (42298024),Cam Spencer (42298198),Zion Williamson (42298033),Marvin Bagley III (42298294),Dejounte Murray (42298021),PJ Washington (42298137),Yves Missi (42298374),,
5090212749,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jalen Suggs (42298049),Tre Johnson (42298321),Bilal Coulibaly (42298215),Derik Queen (42298270),Wendell Carter Jr. (42298165),Desmond Bane (42298003),Tristan da Silva (42298157),Paolo Banchero (42297965),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5090212805,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jalen Suggs (42298049),Tre Jones (42298133),Will Riley (42298181),Jalen Johnson (42297962),Jalen Smith (42298194),Drake Powell (42298357),PJ Washington (42298137),Wendell Carter Jr. (42298165),,PF,Gregory Jackson (42298151),Gregory Jackson,42298151,PF/F/UTIL,5700,MEM@CHI 03/16/2026 08:00PM ET,MEM,21.36
5090212806,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Cooper Flagg (42297987),Max Christie (42298273),Jaylen Brown (42297975),Deni Avdija (42297983),Marvin Bagley III (42298294),DeJon Jarreau (42298315),Khris Middleton (42298263),Jalen Smith (42298194),,C,Nic Claxton (42298146),Nic Claxton,42298146,C/UTIL,5700,POR@BKN 03/16/2026 07:30PM ET,BKN,30.20
5090212807,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jalen Suggs (42298049),Payton Pritchard (42298098),Matisse Thybulle (42298496),Jerami Grant (42298086),Nic Claxton (42298146),Jaylen Brown (42297975),Zion Williamson (42298033),Derik Queen (42298270),,PG,Scoot Henderson (42298154),Scoot Henderson,42298154,PG/G/UTIL,5700,POR@BKN 03/16/2026 07:30PM ET,POR,24.56
5090212808,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Brandon Williams (42298190),Tre Jones (42298133),Herbert Jones (42298244),Zion Williamson (42298033),Nic Claxton (42298146),Jaylen Brown (42297975),Danny Wolf (42298129),PJ Washington (42298137),,PF/C,Draymond Green (42298161),Draymond Green,42298161,PF/C/F/UTIL,5600,GSW@WAS 03/16/2026 07:00PM ET,GSW,25.81
5090212809,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jalen Suggs (42298049),Trey Murphy III (42298024),Jaylen Wells (42298237),Herbert Jones (42298244),DeAndre Jordan (42298591),Jeremiah Fears (42298299),Jaylen Brown (42297975),Deni Avdija (42297983),,SF/PF,Tristan da Silva (42298157),Tristan da Silva,42298157,SF/PF/F/UTIL,5600,ORL@ATL 03/16/2026 07:00PM ET,ORL,19.58
5090212810,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,CJ McCollum (42298062),Payton Pritchard (42298098),Zaccharie Risacher (42298291),Saddiq Bey (42298079),Jock Landale (42298400),Jaylen Brown (42297975),Zion Williamson (42298033),Derik Queen (42298270),,PF/C,Kristaps Porzingis (42298172),Kristaps Porzingis,42298172,PF/C/F/UTIL,5500,GSW@WAS 03/16/2026 07:00PM ET,GSW,30.89
5090212811,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Devin Booker (42297971),Corey Kispert (42298448),Jerami Grant (42298086),Jalen Smith (42298194),Jeremiah Fears (42298299),Desmond Bane (42298003),DeJon Jarreau (42298315),,SG/SF,Collin Sexton (42298167),Collin Sexton,42298167,SG/SF/F/G/UTIL,5500,MEM@CHI 03/16/2026 08:00PM ET,CHI,24.08
5090212812,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Dejounte Murray (42298021),Trey Murphy III (42298024),Zaccharie Risacher (42298291),Zion Williamson (42298033),Onyeka Okongwu (42298031),Jeremiah Fears (42298299),Dyson Daniels (42298052),Jock Landale (42298400),,C,Wendell Carter Jr. (42298165),Wendell Carter Jr.,42298165,C/UTIL,5500,ORL@ATL 03/16/2026 07:00PM ET,ORL,27.44
5090212813,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Dejounte Murray (42298021),Devin Booker (42297971),Grayson Allen (42298071),Jayson Tatum (42297990),Marvin Bagley III (42298294),Jeremiah Fears (42298299),Ryan Dunn (42298435),Jalen Smith (42298194),,C,Olivier-Maxence Prosper (42298176),Olivier-Maxence Prosper,42298176,C/UTIL,5400,MEM@CHI 03/16/2026 08:00PM ET,MEM,15.84
5090212814,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,CJ McCollum (42298062),Trey Murphy III (42298024),Jalen Green (42298057),Derik Queen (42298270),Donovan Clingan (42298016),Nickeil Alexander-Walker (42298039),Cam Spencer (42298198),Jock Landale (42298400),,SF/PF,Will Riley (42298181),Will Riley,42298181,SF/PF/F/UTIL,5300,GSW@WAS 03/16/2026 07:00PM ET,WAS,15.38
5090212815,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Trae Young (42298010),Trey Murphy III (42298024),Herbert Jones (42298244),Jayson Tatum (42297990),Yves Missi (42298374),Nickeil Alexander-Walker (42298039),Kristaps Porzingis (42298172),Derik Queen (42298270),,PF,Royce O'Neale (42298178),Royce O'Neale,42298178,PF/F/UTIL,5300,PHX@BOS 03/16/2026 07:30PM ET,PHX,24.05
5090212816,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Trey Murphy III (42298024),Tre Jones (42298133),Tristan da Silva (42298157),Matas Buzelis (42298018),Nic Claxton (42298146),Desmond Bane (42298003),Patrick Williams (42298402),Jalen Smith (42298194),,C,Mark Williams (42298185),Mark Williams,42298185,C/UTIL,5300,PHX@BOS 03/16/2026 07:30PM ET,PHX,26.62
5090212817,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jalen Suggs (42298049),Tre Johnson (42298321),Toumani Camara (42298105),Zion Williamson (42298033),Nic Claxton (42298146),Desmond Bane (42298003),PJ Washington (42298137),Wendell Carter Jr. (42298165),,C,Jalen Smith (42298194),Jalen Smith,42298194,C/UTIL,5200,MEM@CHI 03/16/2026 08:00PM ET,CHI,23.93
5090212818,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jalen Suggs (42298049),Trey Murphy III (42298024),Ziaire Williams (42298267),Deni Avdija (42297983),Nic Claxton (42298146),Desmond Bane (42298003),Derik Queen (42298270),Moritz Wagner (42298425),,PF,Noah Clowney (42298187),Noah Clowney,42298187,PF/F/UTIL,5200,POR@BKN 03/16/2026 07:30PM ET,BKN,23.5
5090212819,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jalen Suggs (42298049),Cedric Coward (42298203),Gary Payton II (42298283),Deni Avdija (42297983),Jock Landale (42298400),Corey Kispert (42298448),Desmond Bane (42298003),Paolo Banchero (42297965),,PG/SG,Brandon Williams (42298190),Brandon Williams,42298190,PG/SG/G/UTIL,5200,DAL@NOP 03/16/2026 08:00PM ET,DAL,24.33
5090212820,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Collin Gillespie (42298102),Bub Carrington (42298224),Bilal Coulibaly (42298215),Jayson Tatum (42297990),Jalen Smith (42298194),Jalen Green (42298057),Gui Santos (42298043),Kristaps Porzingis (42298172),,PG/SF,Cam Spencer (42298198),Cam Spencer,42298198,PG/SF/F/G/UTIL,5100,MEM@CHI 03/16/2026 08:00PM ET,MEM,25.16
5090212821,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Dejounte Murray (42298021),Devin Booker (42297971),Cam Spencer (42298198),Zion Williamson (42298033),Wendell Carter Jr. (42298165),Payton Pritchard (42298098),Bilal Coulibaly (42298215),Jock Landale (42298400),,SG,Cedric Coward (42298203),Cedric Coward,42298203,SG/G/UTIL,5100,MEM@CHI 03/16/2026 08:00PM ET,MEM,27.37
5090212822,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Jeremiah Fears (42298299),Cam Spencer (42298198),Will Riley (42298181),Nic Claxton (42298146),Jalen Suggs (42298049),Tristan da Silva (42298157),Donovan Clingan (42298016),,PF/C,Taylor Hendricks (42298206),Taylor Hendricks,42298206,PF/C/F/UTIL,5100,MEM@CHI 03/16/2026 08:00PM ET,MEM,15.02
5090212823,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jrue Holiday (42298036),Trey Murphy III (42298024),Herbert Jones (42298244),Zion Williamson (42298033),Oso Ighodaro (42298196),Nickeil Alexander-Walker (42298039),Bilal Coulibaly (42298215),Will Riley (42298181),,C,Oso Ighodaro (42298196),Oso Ighodaro,42298196,C/UTIL,5100,PHX@BOS 03/16/2026 07:30PM ET,PHX,17.54
5090212824,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Payton Pritchard (42298098),Herbert Jones (42298244),Jayson Tatum (42297990),Neemias Queta (42298089),DeJon Jarreau (42298315),Derik Queen (42298270),Nic Claxton (42298146),,PG,Pat Spencer (42298210),Pat Spencer,42298210,PG/G/UTIL,5000,GSW@WAS 03/16/2026 07:00PM ET,GSW,15.97
5090212825,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jeremiah Fears (42298299),Jaylen Brown (42297975),Zaccharie Risacher (42298291),Jalen Johnson (42297962),Nic Claxton (42298146),Dyson Daniels (42298052),Derik Queen (42298270),Jock Landale (42298400),,SF/PF,Bilal Coulibaly (42298215),Bilal Coulibaly,42298215,SF/PF/F/UTIL,5000,GSW@WAS 03/16/2026 07:00PM ET,WAS,24.61
5090212826,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jrue Holiday (42298036),Devin Booker (42297971),Kris Murray (42298453),Deni Avdija (42297983),Marvin Bagley III (42298294),Jalen Suggs (42298049),Toumani Camara (42298105),Jock Landale (42298400),,SG/SF,Jaden Ivey (42298219),Jaden Ivey,42298219,SG/SF/F/G/UTIL,5000,MEM@CHI 03/16/2026 08:00PM ET,CHI,16.49
5090212827,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Bub Carrington (42298224),Tre Jones (42298133),Will Riley (42298181),Jayson Tatum (42297990),Wendell Carter Jr. (42298165),Cam Spencer (42298198),Derik Queen (42298270),Paolo Banchero (42297965),,C,Daniel Gafford (42298213),Daniel Gafford,42298213,C/UTIL,5000,DAL@NOP 03/16/2026 08:00PM ET,DAL,22.82
5090212828,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Derrick White (42298013),Payton Pritchard (42298098),Jaylen Brown (42297975),Jayson Tatum (42297990),Neemias Queta (42298089),Jamaree Bouyea (42298553),Kristaps Porzingis (42298172),Corey Kispert (42298448),,PG/SG,Bub Carrington (42298224),Bub Carrington,42298224,PG/SG/G/UTIL,4900,GSW@WAS 03/16/2026 07:00PM ET,WAS,22.84
5090212829,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jalen Suggs (42298049),CJ McCollum (42298062),Khris Middleton (42298263),Jalen Johnson (42297962),Sidy Cissoko (42298470),Jeremiah Fears (42298299),Tristan da Silva (42298157),Nickeil Alexander-Walker (42298039),,PF/C,Guerschon Yabusele (42298228),Guerschon Yabusele,42298228,PF/C/F/UTIL,4900,MEM@CHI 03/16/2026 08:00PM ET,CHI,11.31
5090212830,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Cooper Flagg (42297987),Trey Murphy III (42298024),Herbert Jones (42298244),Derik Queen (42298270),Marvin Bagley III (42298294),Brandon Williams (42298190),Paolo Banchero (42297965),DeJon Jarreau (42298315),,SG/SF,Jahmai Mashack (42298232),Jahmai Mashack,42298232,SG/SF/F/G/UTIL,4900,MEM@CHI 03/16/2026 08:00PM ET,MEM,12.72
5090212831,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Devin Booker (42297971),Tre Johnson (42298321),Will Riley (42298181),Jerami Grant (42298086),Jalen Smith (42298194),Jaylen Brown (42297975),PJ Washington (42298137),Khris Middleton (42298263),,C,Tristan Vukcevic (42298248),Tristan Vukcevic,42298248,C/UTIL,4800,GSW@WAS 03/16/2026 07:00PM ET,WAS,15.82
5090212832,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Collin Gillespie (42298102),Jordan Goodwin (42298240),Jaylen Brown (42297975),Jayson Tatum (42297990),Marvin Bagley III (42298294),De'Anthony Melton (42298114),Kristaps Porzingis (42298172),Cam Spencer (42298198),,SF,Jaylen Wells (42298237),Jaylen Wells,42298237,SF/F/UTIL,4800,MEM@CHI 03/16/2026 08:00PM ET,MEM,21.88
5090212833,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jamaree Bouyea (42298553),Devin Booker (42297971),Cam Spencer (42298198),Jayson Tatum (42297990),Jock Landale (42298400),Nickeil Alexander-Walker (42298039),Zion Williamson (42298033),Will Riley (42298181),,PG/SG,Jordan Goodwin (42298240),Jordan Goodwin,42298240,PG/SG/G/UTIL,4800,PHX@BOS 03/16/2026 07:30PM ET,PHX,21.50
5090212834,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Nickeil Alexander-Walker (42298039),Cam Spencer (42298198),Zion Williamson (42298033),Nic Claxton (42298146),DeJon Jarreau (42298315),Desmond Bane (42298003),Malachi Smith (42298640),,SF/PF,Herbert Jones (42298244),Herbert Jones,42298244,SF/PF/F/UTIL,4800,DAL@NOP 03/16/2026 08:00PM ET,NOP,21.89
5090212835,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Bub Carrington (42298224),Naji Marshall (42298122),Will Riley (42298181),Jalen Johnson (42297962),Nic Claxton (42298146),Cam Spencer (42298198),Zion Williamson (42298033),Marvin Bagley III (42298294),,SG/SF,Will Richard (42298258),Will Richard,42298258,SG/SF/F/G/UTIL,4700,GSW@WAS 03/16/2026 07:00PM ET,GSW,15.02
5090212836,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Derrick White (42298013),Tre Johnson (42298321),Herbert Jones (42298244),Jayson Tatum (42297990),Kristaps Porzingis (42298172),Toumani Camara (42298105),Zion Williamson (42298033),Tristan da Silva (42298157),,PG/SG,Walter Clayton Jr. (42298254),Walter Clayton Jr.,42298254,PG/SG/G/UTIL,4700,MEM@CHI 03/16/2026 08:00PM ET,MEM,16.95
5090212837,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Collin Gillespie (42298102),Baylor Scheierman (42298318),Herbert Jones (42298244),Will Riley (42298181),Jalen Smith (42298194),Devin Booker (42297971),Kristaps Porzingis (42298172),Paolo Banchero (42297965),,SF/PF,Sam Hauser (42298250),Sam Hauser,42298250,SF/PF/F/UTIL,4700,PHX@BOS 03/16/2026 07:30PM ET,BOS,19.29
5090212838,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Devin Booker (42297971),Matisse Thybulle (42298496),Jerami Grant (42298086),Nic Claxton (42298146),Tre Jones (42298133),Naji Marshall (42298122),Marvin Bagley III (42298294),,SF,Ziaire Williams (42298267),Ziaire Williams,42298267,SF/F/UTIL,4700,POR@BKN 03/16/2026 07:30PM ET,BKN,17.81
5090212839,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Collin Gillespie (42298102),Baylor Scheierman (42298318),Tristan da Silva (42298157),Matas Buzelis (42298018),Marvin Bagley III (42298294),Devin Booker (42297971),Zion Williamson (42298033),Derik Queen (42298270),,SF/PF,Khris Middleton (42298263),Khris Middleton,42298263,SF/PF/F/UTIL,4700,DAL@NOP 03/16/2026 08:00PM ET,DAL,21.98
5090212840,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Cooper Flagg (42297987),Trey Murphy III (42298024),Khris Middleton (42298263),Zion Williamson (42298033),Jalen Smith (42298194),Ryan Nembhard (42298417),Corey Kispert (42298448),Paolo Banchero (42297965),,SF/PF,Rayan Rupert (42298276),Rayan Rupert,42298276,SF/PF/F/UTIL,4600,MEM@CHI 03/16/2026 08:00PM ET,MEM,10.05
5090212841,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Bub Carrington (42298224),Brandon Williams (42298190),Deni Avdija (42297983),Jalen Johnson (42297962),Nic Claxton (42298146),Cedric Coward (42298203),Derik Queen (42298270),Jeremiah Fears (42298299),,PG,Ben Saraf (42298280),Ben Saraf,42298280,PG/G/UTIL,4600,POR@BKN 03/16/2026 07:30PM ET,BKN,12.97
5090212842,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jrue Holiday (42298036),Desmond Bane (42298003),Bilal Coulibaly (42298215),PJ Washington (42298137),Olivier-Maxence Prosper (42298176),Jalen Suggs (42298049),Tristan da Silva (42298157),Wendell Carter Jr. (42298165),,PF,Derik Queen (42298270),Derik Queen,42298270,PF/F/UTIL,4600,DAL@NOP 03/16/2026 08:00PM ET,NOP,29.08
5090212843,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Brandon Williams (42298190),Baylor Scheierman (42298318),Deni Avdija (42297983),Jayson Tatum (42297990),Marvin Bagley III (42298294),Jaylen Brown (42297975),Saddiq Bey (42298079),Jordan Walsh (42298502),,SG,Max Christie (42298273),Max Christie,42298273,SG/G/UTIL,4600,DAL@NOP 03/16/2026 08:00PM ET,DAL,22.31
5090212844,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Javon Small (42298119),Trey Murphy III (42298024),Naji Marshall (42298122),PJ Washington (42298137),Marvin Bagley III (42298294),Tre Jones (42298133),Desmond Bane (42298003),Jalen Smith (42298194),,SG/SF,Gary Payton II (42298283),Gary Payton II,42298283,SG/SF/F/G/UTIL,4500,GSW@WAS 03/16/2026 07:00PM ET,GSW,15.26
5090212845,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jalen Suggs (42298049),Tre Johnson (42298321),Herbert Jones (42298244),Will Riley (42298181),Wendell Carter Jr. (42298165),Dyson Daniels (42298052),Kristaps Porzingis (42298172),Paolo Banchero (42297965),,PF,Justin Champagnie (42298288),Justin Champagnie,42298288,PF/F/UTIL,4500,GSW@WAS 03/16/2026 07:00PM ET,WAS,19.90
5090212846,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Brandon Williams (42298190),Kris Murray (42298453),Gui Santos (42298043),Neemias Queta (42298089),Nickeil Alexander-Walker (42298039),Dyson Daniels (42298052),Marvin Bagley III (42298294),,SF,Zaccharie Risacher (42298291),Zaccharie Risacher,42298291,SF/F/UTIL,4500,ORL@ATL 03/16/2026 07:00PM ET,ATL,20.10
5090212847,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jrue Holiday (42298036),Grayson Allen (42298071),Tristan da Silva (42298157),Zion Williamson (42298033),Neemias Queta (42298089),Naji Marshall (42298122),PJ Washington (42298137),Marvin Bagley III (42298294),,PG,Nolan Traore (42298296),Nolan Traore,42298296,PG/G/UTIL,4500,POR@BKN 03/16/2026 07:30PM ET,BKN,17.12
5090212848,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jrue Holiday (42298036),Baylor Scheierman (42298318),Deni Avdija (42297983),Matas Buzelis (42298018),Marvin Bagley III (42298294),Jalen Green (42298057),Bilal Coulibaly (42298215),Wendell Carter Jr. (42298165),,C,Marvin Bagley III (42298294),Marvin Bagley III,42298294,C/UTIL,4500,DAL@NOP 03/16/2026 08:00PM ET,DAL,22.12
5090212849,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Ty Jerome (42298076),Grayson Allen (42298071),Deni Avdija (42297983),Saddiq Bey (42298079),Jalen Smith (42298194),DeJon Jarreau (42298315),Derik Queen (42298270),Jalen Suggs (42298049),,C,Nick Richards (42298303),Nick Richards,42298303,C/UTIL,4400,MEM@CHI 03/16/2026 08:00PM ET,CHI,13.94
5090212850,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Dejounte Murray (42298021),Drake Powell (42298357),Deni Avdija (42297983),Jerami Grant (42298086),Marvin Bagley III (42298294),Desmond Bane (42298003),Danny Wolf (42298129),Derik Queen (42298270),,PG/SG,Jeremiah Fears (42298299),Jeremiah Fears,42298299,PG/SG/G/UTIL,4400,DAL@NOP 03/16/2026 08:00PM ET,NOP,24.96
5090212851,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Devin Booker (42297971),Baylor Scheierman (42298318),Jalen Green (42298057),Kristaps Porzingis (42298172),Marvin Bagley III (42298294),Payton Pritchard (42298098),Desmond Bane (42298003),Brandon Williams (42298190),,SF/PF,Leonard Miller (42298311),Leonard Miller,42298311,SF/PF/F/UTIL,4300,MEM@CHI 03/16/2026 08:00PM ET,CHI,9.52
5090212852,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Devin Booker (42297971),Max Christie (42298273),Matisse Thybulle (42298496),PJ Washington (42298137),Donovan Clingan (42298016),Jaylen Brown (42297975),Derik Queen (42298270),Tristan da Silva (42298157),,PG,DeJon Jarreau (42298315),DeJon Jarreau,42298315,PG/G/UTIL,4300,MEM@CHI 03/16/2026 08:00PM ET,MEM,19.75
5090212853,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Trey Murphy III (42298024),Brandon Williams (42298190),Naji Marshall (42298122),Paolo Banchero (42297965),Nic Claxton (42298146),Cedric Coward (42298203),Danny Wolf (42298129),Jeremiah Fears (42298299),,C,Robert Williams (42298305),Robert Williams,42298305,C/UTIL,4300,POR@BKN 03/16/2026 07:30PM ET,POR,21.23
5090212854,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Ty Jerome (42298076),Payton Pritchard (42298098),Grayson Allen (42298071),Tristan da Silva (42298157),Marvin Bagley III (42298294),Jalen Suggs (42298049),Paolo Banchero (42297965),DeAndre Jordan (42298591),,PF/C,Josh Minott (42298307),Josh Minott,42298307,PF/C/F/UTIL,4300,POR@BKN 03/16/2026 07:30PM ET,BKN,14.13
5090212855,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Collin Gillespie (42298102),Payton Pritchard (42298098),Corey Kispert (42298448),Matas Buzelis (42298018),Onyeka Okongwu (42298031),Jalen Suggs (42298049),Zion Williamson (42298033),Jock Landale (42298400),,PG/SG,Tre Johnson (42298321),Tre Johnson,42298321,PG/SG/G/UTIL,4200,GSW@WAS 03/16/2026 07:00PM ET,WAS,21.02
5090212856,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Cooper Flagg (42297987),Payton Pritchard (42298098),Tristan da Silva (42298157),Matas Buzelis (42298018),Marvin Bagley III (42298294),Jeremiah Fears (42298299),Paolo Banchero (42297965),DeAndre Jordan (42298591),,SG/SF,Jamir Watkins (42298325),Jamir Watkins,42298325,SG/SF/F/G/UTIL,4200,GSW@WAS 03/16/2026 07:00PM ET,WAS,14.76
5090212857,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Scoot Henderson (42298154),Brandon Williams (42298190),Jaylen Brown (42297975),Herbert Jones (42298244),Kristaps Porzingis (42298172),Dejounte Murray (42298021),Khris Middleton (42298263),Nickeil Alexander-Walker (42298039),,SG,Baylor Scheierman (42298318),Baylor Scheierman,42298318,SG/G/UTIL,4200,PHX@BOS 03/16/2026 07:30PM ET,BOS,12.66
5090212858,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Brandin Podziemski (42297996),Max Christie (42298273),Toumani Camara (42298105),Gui Santos (42298043),Marvin Bagley III (42298294),Payton Pritchard (42298098),Zion Williamson (42298033),Kristaps Porzingis (42298172),,PF,Chaney Johnson (42298330),Chaney Johnson,42298330,PF/F/UTIL,4200,POR@BKN 03/16/2026 07:30PM ET,BKN,14.44
5090212859,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Scoot Henderson (42298154),Vit Krejci (42298414),Desmond Bane (42298003),Zion Williamson (42298033),Marvin Bagley III (42298294),Devin Booker (42297971),Kristaps Porzingis (42298172),Tristan da Silva (42298157),,C,Quinten Post (42298333),Quinten Post,42298333,C/UTIL,4100,GSW@WAS 03/16/2026 07:00PM ET,GSW,17.08
5090212860,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Derrick White (42298013),Brandin Podziemski (42297996),Jaylen Brown (42297975),Bilal Coulibaly (42298215),Jalen Smith (42298194),Tre Johnson (42298321),Danny Wolf (42298129),Justin Champagnie (42298288),,SF,Isaac Okoro (42298335),Isaac Okoro,42298335,SF/F/UTIL,4100,MEM@CHI 03/16/2026 08:00PM ET,CHI,17.21
5090212861,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jrue Holiday (42298036),CJ McCollum (42298062),Zaccharie Risacher (42298291),Paolo Banchero (42297965),Jock Landale (42298400),Brandon Williams (42298190),Danny Wolf (42298129),Jalen Suggs (42298049),,PG,Rob Dillingham (42298338),Rob Dillingham,42298338,PG/G/UTIL,4100,MEM@CHI 03/16/2026 08:00PM ET,CHI,11.12
5090212862,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Bub Carrington (42298224),Devin Booker (42297971),Bilal Coulibaly (42298215),Matas Buzelis (42298018),Jalen Smith (42298194),Nickeil Alexander-Walker (42298039),Tristan da Silva (42298157),Tre Johnson (42298321),,SG,Jaden Hardy (42298346),Jaden Hardy,42298346,SG/G/UTIL,4000,GSW@WAS 03/16/2026 07:00PM ET,WAS,12.48
5090212863,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Dejounte Murray (42298021),Jalen Green (42298057),Matisse Thybulle (42298496),Jalen Johnson (42297962),Onyeka Okongwu (42298031),Dyson Daniels (42298052),Corey Kispert (42298448),Jock Landale (42298400),,PG/SG,Jevon Carter (42298349),Jevon Carter,42298349,PG/SG/G/UTIL,4000,ORL@ATL 03/16/2026 07:00PM ET,ORL,12.28
5090212864,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jalen Suggs (42298049),Jalen Green (42298057),Toumani Camara (42298105),Jayson Tatum (42297990),Jock Landale (42298400),Dyson Daniels (42298052),Kristaps Porzingis (42298172),Will Riley (42298181),,SG/SF,Klay Thompson (42298341),Klay Thompson,42298341,SG/SF/F/G/UTIL,4000,DAL@NOP 03/16/2026 08:00PM ET,DAL,19.18
