Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
5083005921,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Keyonte George (42202611),Quentin Grimes (42202759),Kawhi Leonard (42202574),Jalen Johnson (42202569),Jock Landale (42202862),Ty Jerome (42202650),Marjon Beauchamp (42203129),Cam Thomas (42202904),,1. Column A lists all of your contest entries for this draftgroup
5083005922,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Ty Jerome (42202650),Cedric Coward (42202729),Kawhi Leonard (42202574),Jalen Johnson (42202569),Jock Landale (42202862),Cam Thomas (42202904),Marjon Beauchamp (42203129),Nickeil Alexander-Walker (42202618),,2. Your current lineup is listed next to each entry (blank for reservations)
5083005923,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Ty Jerome (42202650),Kawhi Leonard (42202574),Michael Porter Jr. (42202600),Noah Clowney (42202774),Draymond Green (42202718),Bennedict Mathurin (42202645),Dyson Daniels (42202653),Marjon Beauchamp (42203129),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5083005924,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Ty Jerome (42202650),Bogdan Bogdanovic (42203066),Michael Porter Jr. (42202600),Jalen Johnson (42202569),Jock Landale (42202862),Kawhi Leonard (42202574),Kyle Kuzma (42202787),Kevin Huerter (42202893),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5083005925,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Cam Thomas (42202904),Kelly Oubre Jr. (42202680),Michael Porter Jr. (42202600),Jalen Johnson (42202569),Myles Turner (42202725),Dyson Daniels (42202653),Draymond Green (42202718),Kyle Kuzma (42202787),,5. For faster processing only include entries you are changing in the file you upload
5083005926,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Ty Jerome (42202650),Quentin Grimes (42202759),Michael Porter Jr. (42202600),Jalen Johnson (42202569),Jock Landale (42202862),CJ McCollum (42202629),Dyson Daniels (42202653),Marjon Beauchamp (42203129),,
5083005927,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Shai Gilgeous-Alexander (42202560),Cedric Coward (42202729),Kawhi Leonard (42202574),Kyle Kuzma (42202787),Nic Claxton (42202690),Dyson Daniels (42202653),Noah Clowney (42202774),Marjon Beauchamp (42203129),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,PG,L.J. Cryer (42202946),L.J. Cryer,42202946,PG/G/UTIL,3500,GSW@OKC 03/07/2026 08:30PM ET,GSW,6.75
,,,,,,,,,,,,,PG/SG,Terance Mann (42202949),Terance Mann,42202949,PG/SG/G/UTIL,3400,BKN@DET 03/07/2026 06:00PM ET,BKN,18.08
,,,,,,,,,,,,,C,Isaiah Jackson (42202953),Isaiah Jackson,42202953,C/UTIL,3400,LAC@MEM 03/07/2026 08:00PM ET,LAC,16.34
,,,,,,,,,,,,,PF/C,Mouhamed Gueye (42202955),Mouhamed Gueye,42202955,PF/C/F/UTIL,3300,PHI@ATL 03/07/2026 06:00PM ET,ATL,13.38
,,,,,,,,,,,,,SG,Svi Mykhailiuk (42202959),Svi Mykhailiuk,42202959,SG/G/UTIL,3300,UTA@MIL 03/07/2026 08:00PM ET,UTA,16.69
,,,,,,,,,,,,,PG/SG,Tyrese Martin (42202965),Tyrese Martin,42202965,PG/SG/G/UTIL,3200,PHI@ATL 03/07/2026 06:00PM ET,PHI,14.52
,,,,,,,,,,,,,PF/C,Pete Nance (42202969),Pete Nance,42202969,PF/C/F/UTIL,3200,UTA@MIL 03/07/2026 08:00PM ET,MIL,8.98
,,,,,,,,,,,,,C,Mo Bamba (42202976),Mo Bamba,42202976,C/UTIL,3200,UTA@MIL 03/07/2026 08:00PM ET,UTA,11
,,,,,,,,,,,,,PF,Nicolas Batum (42202962),Nicolas Batum,42202962,PF/F/UTIL,3200,LAC@MEM 03/07/2026 08:00PM ET,LAC,11.20
,,,,,,,,,,,,,PF,Malevy Leons (42202973),Malevy Leons,42202973,PF/F/UTIL,3200,GSW@OKC 03/07/2026 08:30PM ET,GSW,7.06
,,,,,,,,,,,,,SF/PF,Ochai Agbaji (42202978),Ochai Agbaji,42202978,SF/PF/F/UTIL,3100,BKN@DET 03/07/2026 06:00PM ET,BKN,9.66
,,,,,,,,,,,,,PG,Ben Saraf (42202987),Ben Saraf,42202987,PG/G/UTIL,3100,BKN@DET 03/07/2026 06:00PM ET,BKN,12.24
,,,,,,,,,,,,,SG/SF,Gary Harris (42202982),Gary Harris,42202982,SG/SF/F/G/UTIL,3100,UTA@MIL 03/07/2026 08:00PM ET,MIL,7.21
,,,,,,,,,,,,,C,Oscar Tshiebwe (42202990),Oscar Tshiebwe,42202990,C/UTIL,3100,UTA@MIL 03/07/2026 08:00PM ET,UTA,9.59
,,,,,,,,,,,,,SG/SF,Buddy Hield (42203005),Buddy Hield,42203005,SG/SF/F/G/UTIL,3000,PHI@ATL 03/07/2026 06:00PM ET,ATL,15.38
,,,,,,,,,,,,,PG,Keaton Wallace (42203010),Keaton Wallace,42203010,PG/G/UTIL,3000,PHI@ATL 03/07/2026 06:00PM ET,ATL,8.92
,,,,,,,,,,,,,PF/C,Asa Newell (42203021),Asa Newell,42203021,PF/C/F/UTIL,3000,PHI@ATL 03/07/2026 06:00PM ET,ATL,9.82
,,,,,,,,,,,,,SF,Dalen Terry (42203034),Dalen Terry,42203034,SF/F/UTIL,3000,PHI@ATL 03/07/2026 06:00PM ET,PHI,9.35
,,,,,,,,,,,,,PG,Gabe Vincent (42203039),Gabe Vincent,42203039,PG/G/UTIL,3000,PHI@ATL 03/07/2026 06:00PM ET,ATL,9.56
,,,,,,,,,,,,,SF,Paul George (42203051),Paul George,42203051,SF/F/UTIL,3000,PHI@ATL 03/07/2026 06:00PM ET,PHI,32.34
,,,,,,,,,,,,,C,Christian Koloko (42203056),Christian Koloko,42203056,C/UTIL,3000,PHI@ATL 03/07/2026 06:00PM ET,ATL,10.56
,,,,,,,,,,,,,PG,RayJ Dennis (42203070),RayJ Dennis,42203070,PG/G/UTIL,3000,PHI@ATL 03/07/2026 06:00PM ET,ATL,10.15
,,,,,,,,,,,,,SF/PF,Caleb Houstan (42203073),Caleb Houstan,42203073,SF/PF/F/UTIL,3000,PHI@ATL 03/07/2026 06:00PM ET,ATL,3.21
,,,,,,,,,,,,,C,Johni Broome (42203077),Johni Broome,42203077,C/UTIL,3000,PHI@ATL 03/07/2026 06:00PM ET,PHI,4.04
,,,,,,,,,,,,,PG,Kyle Lowry (42203084),Kyle Lowry,42203084,PG/G/UTIL,3000,PHI@ATL 03/07/2026 06:00PM ET,PHI,5.19
,,,,,,,,,,,,,PG,Keshon Gilbert (42203115),Keshon Gilbert,42203115,PG/G/UTIL,3000,PHI@ATL 03/07/2026 06:00PM ET,ATL,8.58
,,,,,,,,,,,,,SG/SF,Marjon Beauchamp (42203129),Marjon Beauchamp,42203129,SG/SF/F/G/UTIL,3000,PHI@ATL 03/07/2026 06:00PM ET,PHI,21.12
,,,,,,,,,,,,,SG,Drake Powell (42203002),Drake Powell,42203002,SG/G/UTIL,3000,BKN@DET 03/07/2026 06:00PM ET,BKN,11.46
,,,,,,,,,,,,,PF,Jalen Wilson (42203018),Jalen Wilson,42203018,PF/F/UTIL,3000,BKN@DET 03/07/2026 06:00PM ET,BKN,8.81
,,,,,,,,,,,,,SF,Josh Minott (42203031),Josh Minott,42203031,SF/F/UTIL,3000,BKN@DET 03/07/2026 06:00PM ET,BKN,13.31
,,,,,,,,,,,,,SG/SF,Chaz Lanier (42203058),Chaz Lanier,42203058,SG/SF/F/G/UTIL,3000,BKN@DET 03/07/2026 06:00PM ET,DET,5.80
,,,,,,,,,,,,,PG,Marcus Sasser (42203063),Marcus Sasser,42203063,PG/G/UTIL,3000,BKN@DET 03/07/2026 06:00PM ET,DET,9.78
,,,,,,,,,,,,,PF,Bobi Klintman (42203079),Bobi Klintman,42203079,PF/F/UTIL,3000,BKN@DET 03/07/2026 06:00PM ET,DET,5.05
,,,,,,,,,,,,,C,E.J. Liddell (42203082),E.J. Liddell,42203082,C/UTIL,3000,BKN@DET 03/07/2026 06:00PM ET,BKN,3.98
,,,,,,,,,,,,,PG,Tyson Etienne (42203090),Tyson Etienne,42203090,PG/G/UTIL,3000,BKN@DET 03/07/2026 06:00PM ET,BKN,1.88
,,,,,,,,,,,,,C,Tolu Smith (42203096),Tolu Smith,42203096,C/UTIL,3000,BKN@DET 03/07/2026 06:00PM ET,DET,13.54
,,,,,,,,,,,,,SF,Wendell Moore Jr. (42203104),Wendell Moore Jr.,42203104,SF/F/UTIL,3000,BKN@DET 03/07/2026 06:00PM ET,DET,5.9
,,,,,,,,,,,,,C,Grant Nelson (42203109),Grant Nelson,42203109,C/UTIL,3000,BKN@DET 03/07/2026 06:00PM ET,BKN,10.5
,,,,,,,,,,,,,PF/C,Isaac Jones (42203111),Isaac Jones,42203111,PF/C/F/UTIL,3000,BKN@DET 03/07/2026 06:00PM ET,DET,2.25
,,,,,,,,,,,,,PF,Chaney Johnson (42203150),Chaney Johnson,42203150,PF/F/UTIL,3000,BKN@DET 03/07/2026 06:00PM ET,BKN,0
,,,,,,,,,,,,,SG/SF,Gary Trent Jr. (42202992),Gary Trent Jr.,42202992,SG/SF/F/G/UTIL,3000,UTA@MIL 03/07/2026 08:00PM ET,MIL,12.60
,,,,,,,,,,,,,C,Jaren Jackson Jr. (42203000),Jaren Jackson Jr.,42203000,C/UTIL,3000,UTA@MIL 03/07/2026 08:00PM ET,UTA,34.35
,,,,,,,,,,,,,C,Jusuf Nurkic (42203016),Jusuf Nurkic,42203016,C/UTIL,3000,UTA@MIL 03/07/2026 08:00PM ET,UTA,34.52
,,,,,,,,,,,,,PG,Vince Williams Jr. (42203025),Vince Williams Jr.,42203025,PG/G/UTIL,3000,UTA@MIL 03/07/2026 08:00PM ET,UTA,20.67
,,,,,,,,,,,,,SG/SF,Andre Jackson Jr. (42203042),Andre Jackson Jr.,42203042,SG/SF/F/G/UTIL,3000,UTA@MIL 03/07/2026 08:00PM ET,MIL,4.23
,,,,,,,,,,,,,C,Thanasis Antetokounmpo (42203054),Thanasis Antetokounmpo,42203054,C/UTIL,3000,UTA@MIL 03/07/2026 08:00PM ET,MIL,3.07
,,,,,,,,,,,,,SF,Taurean Prince (42203087),Taurean Prince,42203087,SF/F/UTIL,3000,UTA@MIL 03/07/2026 08:00PM ET,MIL,12.09
,,,,,,,,,,,,,C,Walker Kessler (42203107),Walker Kessler,42203107,C/UTIL,3000,UTA@MIL 03/07/2026 08:00PM ET,UTA,38.4
,,,,,,,,,,,,,SF,Cormac Ryan (42203139),Cormac Ryan,42203139,SF/F/UTIL,3000,UTA@MIL 03/07/2026 08:00PM ET,MIL,0
,,,,,,,,,,,,,SF,Alex Antetokounmpo (42203142),Alex Antetokounmpo,42203142,SF/F/UTIL,3000,UTA@MIL 03/07/2026 08:00PM ET,MIL,0
,,,,,,,,,,,,,SG,Kentavious Caldwell-Pope (42202997),Kentavious Caldwell-Pope,42202997,SG/G/UTIL,3000,LAC@MEM 03/07/2026 08:00PM ET,MEM,17.48
,,,,,,,,,,,,,SG,Cam Christie (42203013),Cam Christie,42203013,SG/G/UTIL,3000,LAC@MEM 03/07/2026 08:00PM ET,LAC,6.51
,,,,,,,,,,,,,PG/SG,Bogdan Bogdanovic (42203066),Bogdan Bogdanovic,42203066,PG/SG/G/UTIL,3000,LAC@MEM 03/07/2026 08:00PM ET,LAC,16.60
,,,,,,,,,,,,,PG,TyTy Washington Jr. (42203093),TyTy Washington Jr.,42203093,PG/G/UTIL,3000,LAC@MEM 03/07/2026 08:00PM ET,LAC,7.14
,,,,,,,,,,,,,SG,Bradley Beal (42203098),Bradley Beal,42203098,SG/G/UTIL,3000,LAC@MEM 03/07/2026 08:00PM ET,LAC,12.54
,,,,,,,,,,,,,PF/C,Norchad Omier (42203118),Norchad Omier,42203118,PF/C/F/UTIL,3000,LAC@MEM 03/07/2026 08:00PM ET,LAC,3.5
,,,,,,,,,,,,,PF/C,Brandon Clarke (42203122),Brandon Clarke,42203122,PF/C/F/UTIL,3000,LAC@MEM 03/07/2026 08:00PM ET,MEM,10.5
,,,,,,,,,,,,,C,Taj Gibson (42203137),Taj Gibson,42203137,C/UTIL,3000,LAC@MEM 03/07/2026 08:00PM ET,MEM,0
,,,,,,,,,,,,,PG,Sean Pedulla (42203147),Sean Pedulla,42203147,PG/G/UTIL,3000,LAC@MEM 03/07/2026 08:00PM ET,LAC,0
,,,,,,,,,,,,,PF,Jimmy Butler (42203028),Jimmy Butler,42203028,PF/F/UTIL,3000,GSW@OKC 03/07/2026 08:30PM ET,GSW,37.31
,,,,,,,,,,,,,C,Branden Carlson (42203037),Branden Carlson,42203037,C/UTIL,3000,GSW@OKC 03/07/2026 08:30PM ET,OKC,10.57
,,,,,,,,,,,,,SF/PF,Brooks Barnhizer (42203047),Brooks Barnhizer,42203047,SF/PF/F/UTIL,3000,GSW@OKC 03/07/2026 08:30PM ET,OKC,4.92
,,,,,,,,,,,,,PG,Nikola Topic (42203101),Nikola Topic,42203101,PG/G/UTIL,3000,GSW@OKC 03/07/2026 08:30PM ET,OKC,7.3
,,,,,,,,,,,,,PG,Seth Curry (42203126),Seth Curry,42203126,PG/G/UTIL,3000,GSW@OKC 03/07/2026 08:30PM ET,GSW,14.25
,,,,,,,,,,,,,PF,Payton Sandfort (42203134),Payton Sandfort,42203134,PF/F/UTIL,3000,GSW@OKC 03/07/2026 08:30PM ET,OKC,0
,,,,,,,,,,,,,C,Thomas Sorber (42203145),Thomas Sorber,42203145,C/UTIL,3000,GSW@OKC 03/07/2026 08:30PM ET,OKC,0
